Type,A,B
RA,Particularly the younger generations are no longer dependent on the programming of public broadcasters.,"US series are preferred over “Tatort”,"
CA,It is unfair and unjustifiable that new tenants have to pay a much higher rent than previous residents.,Clearly the landlord has to pay for some repairs before a new lease.
CA,Opening on Sundays and holidays would therefore help both customers and shops.,"Owner-run shops may potentially be overwhelmed by additional work times on Sundays and holidays,"
RA,"Of course the camera could be better,",and images in dark surroundings are often snowy.
RA,"Criminals should not be put in luxury prisons, though.","After all there are criminals who enjoy 'living' in prison for its decent board, no taxes to be paid, no stress with work."
RA,"as long as the motivation of those people isn't triggered by propaganda, corruption and military pressure.","Since, however, in Russia besides gas and oil only propaganda and corruption rule,"
RA,the EU should intervene right away.,A violation of international law should be more than enough to consider a reaction!
RA,The negative impact of air traffic however is considerable.,Air traffic is extremely environmentally unfriendly.
CA,"A bank bailout is very, very costly.",The politicians are trying to appease us with the fact that actually only a tiny amount of all that money was really spent.
CA,My parents say this could also be pure coincidence.,But that much of a coincidence is simply impossible.
RA,That's why Germany should not introduce capital punishment!,No human being or human committee should again be given the permission to rule over 'life or death'.
RA,Never have there been longer queues at the advance ticket offices,– in Japan there was one exceeding 3.2km –
CA,everyone should chip in.,Admittedly trash and turmoil are exactly what the majority of people want to see.
RA,Also streets and shops would presumably be emptier,as not everyone would be open on the same day.
CA,"Considering what's on television these days, it would be appropriate to only have those people pay who actually (want to) follow the programming.",Nevertheless one has to point out that there'd probably be way fewer stations if it weren’t the whole of Germany that’s obliged to pay.
RA,Therefore universities should not charge tuition fees in Germany.,Every German citizen has a right to education.
CA,Proponents of the death penalty count on its deterring effect as well as the ultimate elimination of any potential threat.,However also the threat of the death penalty in the respective countries apparently cannot prevent murder and violent crime.
RA,"I find the peripheral housing development at Tempelhofer Feld right for urban planning reasons,",as the area is right in the middle of the city (capital).
RA,Tuition fees should not generally be charged by universities.,"Education and training are fundamental rights which the state, the society must provide."
RA,Tuition fees should not generally be charged by universities.,"If a university lacks the funds, sponsors must be found."
RA,I am not of the opinion that the retirement age should be set at 63 years.,The introductory phase of retirement at 63 would also be a particular challenge
CA,Supermarkets and shopping centres should be allowed to open any Sundays and holidays at their discretion.,However then you'd have a worse overview of which shop is open on a given day.
CA,We don't need it.,"If Germany were to introduce the death penalty, convicted felons could not be paroled or break out of prison and commit new felonies."
RA,"Thus Sundays should remain a day for getting together with family,",otherwise there will be a new kind of leisure activity where people spend their time in supermarkets instead of outside or in conversation etc.
CA,Higher penalties for dog dirt are pointless as long as there is not enough personnel to enforce them.,"In individual cases they may indeed act as a deterrent,"
RA,"Dog owners should pay higher fines for dog dirt left on pavements,","A higher fine, so dog owners would have to dig deeper into their pockets, is supposed to be a deterrent after all."
RA,"Considering what's on television these days, it would be appropriate to only have those people pay who actually (want to) follow the programming.",so there's no advantage for the current paying viewers of the public broadcasters.
CA,For dog dirt left on the pavement dog owners should by all means pay a bit more.,"Indeed it's not the fault of the animals,"
RA,"Capital punishment is not a solution,",as it cannot be ruled out that the judicial process may make mistakes.
RA,as they can plan for a maximum rent increase.,"That the landlords are then slightly restricted in the administration of their property is not a problem,"
RA,That's costly!,Fees result in longer durations of studies.
RA,The state ought to prevent murder - not avenge it.,'An eye for an eye' seems to miss the point.
CA,The prototype of Audi's new sports car has car lovers raving.,"The steering system may still need a bit of tweaking,"
RA,That's why there ought to be one day a week when supermarkets and shopping centres stay closed.,"But after all, the purpose of having a day off is not just to make time to go to church."
CA,"It would be an exception if you only watched quiz shows,",but you tend to watch Big Brother and X-Diaries.
CA,Video games ought to be included in the ranks of Olympic events.,"Considering their requirements, some video games are not relevant as sports,"
RA,Peter should close his snack bar as soon as possible.,and his pool of customers is shrinking constantly.
CA,When he got back from Ralf's party last night he was still stone-cold sober.,Ralf does insist that they drank advocaat together.
RA,Germany should by no means introduce capital punishment.,"What, then, ought to be done with criminals who have committed truly awful crimes such as murder or rape - should they simply be allowed to live on"
CA,you should buy IBM shares if you want to invest.,"and the mood in the stock market could be better on the whole,"
RA,"Still, the state needs the death penalty as a deterrent to horrific crimes.","Criminals should not be put in luxury prisons, though."
RA,"Plus everyone has to move approx. 3-10 times in his or her life,",because the size of the desired accommodation changes over the course of a lifetime.
RA,everyone should chip in.,The thought of television exclusively made up of private channels scares me.
RA,computer games should also not be recognized as Olympic events.,Yet sports are usually associated with physical training.
RA,"The implementation of retirement at 63 is no longer socially sustainable,","as the population in Germany has, viewed demographically, a disproportionate number of old people,"
CA,The statutory health insurance companies should also cover treatments with non-medical and alternative practitioners.,Their treatment methods and successes are not amply researched or proven.
CA,German universities should on no account charge tuition fees.,One could argue that an increase in tuition fees would allow institutions to be better equipped.
CA,"Dog owners should pay higher fines for dog dirt left on pavements,",although there aren't enough bins and bag-dispensers for dog dirt.
RA,"Yet it remains questionable whether the actual implementation of such supervision would at the same time lead to a stronger observance of laws,",as ultimately this decision is in the hands of the respective government leaders.
RA,School uniforms should not be worn in our schools.,Plus such uniforms also stand for ideological conformity and for the suppression of individual self-development.
RA,A cap on rent increases upon tenant change is therefore not to be supported.,Rent prices are already regulated in favour of tenants due to existing laws and the rent index.
RA,"This helps the landlords,",as they can plan for a maximum rent increase.
RA,"Nevertheless, everybody should contribute to the funding of the public broadcasters in equal measure,",for we need general and independent media.
CA,Rent prices should be limited by a cap when there's a change of tenant.,"and many, consistent with market principles, are prepared to pay higher rents,"
RA,The EU should exert influence on the political events in Ukraine.,"The developments in that conflict should not be left to former Cold War opponents alone,"
RA,Pieces of dog poo on the pavements are a real danger.,Time and again children or the elderly slip on them.
RA,"Alternative treatments should be subsidized in the same way as conventional treatments,",It doesn't matter after all that those who administer the treatment don't have 'doctor status'.
RA,everyone should chip in.,"And since it is the duty of society to collectively finance certain areas that cannot hold their own in a market economy,"
RA,for we need general and independent media.,After all we want to get our view of the world neither through the lens of the government nor through that of rich media entrepreneurs.
RA,"This is why we need more police presence in public transport,","Every day passengers are harassed by hooligans and drunks on the underground, trains and busses."
CA,"A simply designed practical outfit would even out the overall visual image of a school, and direct attention towards the character and achievements of the students - and not their buying power.",or regard it as too much of an intervention into the leeway of students and parents to make decisions.
CA,the EU should not intervene in local politics.,"and the Ukrainian opposition is primarily interested in installing a robust democracy,"
CA,"Well, I as an employee find it very practical to be able to shop at least on weekends.","Sure, other people have to work in the shops on the weekend,"
RA,Thus social security and pension costs are increasing.,and the age of those who are physically and mentally fit is increasing steadily.
RA,Thus social security and pension costs are increasing.,"Germany's aging society is undergoing demographic change,"
RA,"Actually only those people should pay a TV & radio licence fee who really watch ARD, ZDF, Arte etc.",Also the scripts are often copied off each other.
CA,Never have there been longer queues at the advance ticket offices,"aside from, perhaps, during the heyday of Take That."
RA,A reduction in the amount of chemically produced medication per person is most certainly desirable.,"This will do little damage to the pharmaceutical industry, and"
CA,unless they're unbreakable.,But precisely this is unfortunately not the case.
CA,"The implementation of retirement at 63 is no longer socially sustainable,","Admittedly the number of immigrants is constantly rising in Germany,"
RA,Secret services must be more tightly regulated in order to prevent excessive surveillance.,and must therefore be monitored more closely to prevent abuse.
RA,The death penalty is a legal means that as such is not practicable in Germany.,and furthermore no one may have the right to adjudicate upon the death of another human being.
RA,Health insurance companies should naturally cover alternative medical treatments.,and who would want to question their broad expertise?
RA,That's why it makes sense that the bachelor thesis only makes up a relatively small portion of the final grade (15 out of 120 credits).,The idea of the bachelor degree is to put together a cumulative grade from various individual assignments in order to generate a final grade.
RA,"Higher fines are therefore the right measure against negligent, lazy or simply thoughtless dog owners.",One can hardly move in Friedrichshain or Neukölln these days without permanently scanning the ground for dog dirt.
RA,That's why there ought to be one day a week when supermarkets and shopping centres stay closed.,Our society is in danger of overheating due to 'never clocking off'.
CA,Of course it would be nice and simple if after a fun night out with a party acquaintance you could simply take the 'morning-after pill' and feel at ease.,But it's not that simple.
CA,the EU should intervene right away.,"It's to be noted that in our civilized world, in a democratic country, the people can determine their own fate,"
RA,A reduction in the amount of chemically produced medication per person is most certainly desirable.,conventional medicine will also hardly suffer.
RA,"Thus smaller shops could benefit from the additional freedom,",as customers are on average more laid-back on Sunday.
RA,We should go to the Baltic Sea on the weekend.,"and one mustn't let this go to waste,"
CA,Acquiring CDs with tax data of tax delinquents is therefore out of the question.,"It is indisputable, however, that by purchasing such data the state increases the pressure on tax evaders to turn themselves in."
CA,"Higher fines are therefore the right measure against negligent, lazy or simply thoughtless dog owners.","Of course, first they'd actually need to be caught in the act by public order officers,"
RA,No one can follow their activities in detail.,Intelligence services apparently enjoy indiscriminate liberties.
RA,"Yes, it's annoying and cumbersome to separate your rubbish properly all the time.",Three different bin bags stink away in the kitchen and have to be sorted into different wheelie bins.
RA,A reduction in the amount of chemically produced medication per person is most certainly desirable.,The patient could learn to be more aware of his or her body and to treat it more healthily.
RA,There should be much higher fines for dog dirt left on pavements.,"Besides, the fines for public urination by a human are higher than for leaving behind dog dirt on the pavement, which is disproportionate."
RA,In a few decades our society will have a disproportionate number of old people:,and at the same time birth rates are declining.
RA,The health insurance companies ought to be enabled to recognize a doctor's decision for natural treatment and also to cover it.,Such therapies can frequently result in an improvement in the condition through the active participation of the patient.
RA,"Besides it should be in the interest of the health insurers to recognize alternative medicine as treatment,",since there is a chance of recovery.
CA,For these reasons supermarkets and shopping centres should not be allowed to be open for business on arbitrary Sundays and holidays.,Due to the increase in opening hours on Sundays and holidays there is a rise in employment.
CA,"If there were higher fines for leaving dog dirt on pavements, there would presumably be less dog dirt,","Higher fines may not be ideal, particularly for financially weaker individuals,"
RA,That's why Germany should not introduce capital punishment!,A door must remain open for making amends.
CA,the EU should not intervene in local politics.,"Although Ukraine is a European country,"
RA,Hence it is good when shops are not open on Sundays and public holidays.,Supermarket employees and people who work in shopping centres also have the right to a Sunday off work.
RA,The universities in Germany should not under any circumstances charge tuition fees.,The anticipated objectives of tuition fees can be achieved by other means.
CA,unless the promised effect and its medical benefit have been concretely proven.,Yet this very proof is lacking in most cases.
RA,it could even be used for social housing with affordable rents.,"Since the area belongs to the federal state, or the federation,"
CA,"Nevertheless, everybody should contribute to the funding of the public broadcasters in equal measure,","and others, such as “Musikantenstadl” and soap operas, are only interesting to certain audiences."
RA,"For you can go shopping 6 days a week,",as shops are open till 10pm on some days.
RA,Actually it would be justified if all German universities charged tuition fees.,"To oblige non-academics to finance others' degrees through taxes, however, is not just."
CA,computer games should also not be recognized as Olympic events.,Our society is strongly digitized and influenced by computers.
RA,"You should watch less television,","as too much TV makes you stupid in the long run,"
RA,Parliamentary control however hampers the work of intelligence services,for it jeopardizes the secrecy and security of confidential data and informants.
CA,and at the same time birth rates are declining.,"Although having children has become more fashionable again in recent years,"
RA,"Dog owners should pay higher fines for dog dirt left on pavements,",Besides you're not allowed to leave other rubbish without punishment.
RA,A stop must be put to exorbitant rents by imposing a limit on rent increases when changing residences.,"Besides, a higher degree of luxury (expensive flats) is not necessary for the majority of the people, but rather a flat at all."
RA,"Well, I as an employee find it very practical to be able to shop at least on weekends.",and how am I supposed to do that when the shops aren't open when I'm off work?
CA,That's why the statutory health insurance companies should not cover such treatments.,It would be conceivable to invest more into the training and control of this occupation sector on the part of the state.
CA,Tomorrow I will skydive for the first time in my life.,"Yes, there is a certain risk to life."
RA,Video games ought to be included in the ranks of Olympic events.,The performance often required by players is considerable and by all means comparable to physical efforts.
RA,The statutory health insurance companies should also cover treatments with non-medical and alternative practitioners.,"Also conventional medicine is in many cases not successful,"
RA,Tax data that are not made available for free should therefore not be acquired by the state.,so that this ideal appears unworthy of support in many ways.
CA,Berlin's basketball team has just come out of a sobering season.,"Indeed the team ended up third in the league,"
RA,Due to the many random factors the bachelor thesis should not play a bigger role.,A good grade for the thesis also significantly depends on the supervision of a dedicated teacher.
CA,and nothing will get Berlin out of its financial jam more than a lot of spending visitors.,"Of course a higher federal subsidy would be even better for Berlin's coffers,"
RA,I argue categorically in favour of over-the-counter availability of the morning-after pill in pharmacies.,"Always having to visit the doctor first (including travel and waiting time, possible embarrassment, etc.) leads to more unwanted pregnancies."
RA,Not everyone should be obliged to pay the TV & radio licence.,Particularly the younger generations are no longer dependent on the programming of public broadcasters.
CA,I think Fritz has never been in a fight in his life.,"As a boy he did use to scuffle with the other choirboys,"
